date,open,high,low,close,volume
2023-01-01 00:00:00,1.0700,1.0720,1.0690,1.0710,9500
2023-01-01 00:15:00,1.0710,1.0730,1.0705,1.0725,9800
2023-01-01 00:30:00,1.0725,1.0740,1.0715,1.0735,10200
2023-01-01 00:45:00,1.0735,1.0750,1.0730,1.0745,10500
2023-01-01 01:00:00,1.0745,1.0760,1.0740,1.0755,10800
2023-01-01 01:15:00,1.0755,1.0770,1.0750,1.0765,11000
2023-01-01 01:30:00,1.0765,1.0780,1.0760,1.0770,11200
2023-01-01 01:45:00,1.0770,1.0785,1.0765,1.0775,11500
2023-01-01 02:00:00,1.0775,1.0790,1.0770,1.0780,11800
2023-01-01 02:15:00,1.0780,1.0795,1.0775,1.0785,12000
2023-01-01 02:30:00,1.0785,1.0800,1.0780,1.0790,12200
2023-01-01 02:45:00,1.0790,1.0805,1.0785,1.0795,12500
2023-01-01 03:00:00,1.0795,1.0810,1.0790,1.0800,12800
2023-01-01 03:15:00,1.0800,1.0815,1.0795,1.0805,13000
2023-01-01 03:30:00,1.0805,1.0820,1.0800,1.0810,13200
